"time_iso","time_ms","time_s"," "," "," "," "," "," "," "," "," "," "
"2026-07-15T10:42:02.346Z","9107","9.107","0","0","0","0","0","0","0","0","0","0.31"
"2026-07-15T10:42:02.386Z","9147","9.147","0","0","0","0","0","0","0","0","0","3.75"
"2026-07-15T10:42:02.573Z","9334","9.334","0","0","0","0","0","0","0","0","0","4"
"2026-07-15T10:42:02.602Z","9363","9.363","0","0","0","0","0","0","0","0","0","7.95"
"2026-07-15T10:42:02.639Z","9400","9.400","0","0","0","0","0","0","0","0","0","10.7"
"2026-07-15T10:42:02.665Z","9426","9.426","0","0","0","0","0","0","0","0","0","14.27"
"2026-07-15T10:42:02.700Z","9461","9.461","0","0","0","0","0","0","0","0","0","16.41"
"2026-07-15T10:42:02.736Z","9497","9.497","0","0","0","0","0","0","0","0","0","18.5"
"2026-07-15T10:42:02.776Z","9537","9.537","0","0","0","0","0","0","0","0","0","20.01"
"2026-07-15T10:42:02.801Z","9562","9.562","0","0","0","0","0","0","0","0","0","22.36"
"2026-07-15T10:42:02.831Z","9592","9.592","0","0","0","0","0","0","0","0","0","23.56"
"2026-07-15T10:42:02.873Z","9634","9.634","0","0","0","0","0","0","0","0","0","24.43"
"2026-07-15T10:42:02.903Z","9664","9.664","0","0","0","0","0","0","0","0","0","25.05"
"2026-07-15T10:42:02.939Z","9700","9.700","0","0","0","0","0","0","0","0","0","25.98"
"2026-07-15T10:42:02.981Z","9742","9.742","0","0","0","0","0","0","0","0","0","25.66"
"2026-07-15T10:42:03.024Z","9785","9.785","0","0","0","0","0","0","0","0","0","27.17"
"2026-07-15T10:42:03.069Z","9830","9.830","0","0","0","0","0","0","0","0","0","26.5"
"2026-07-15T10:42:03.111Z","9872","9.872","0","0","0","0","0","0","0","0","0","25.59"
"2026-07-15T10:42:03.157Z","9918","9.918","0","0","0","0","0","0","0","0","0","25.01"
"2026-07-15T10:42:03.207Z","9968","9.968","0","0","0","0","0","0","0","0","0","24.67"
"2026-07-15T10:42:03.252Z","10013","10.013","0","0","0","0","0","0","0","0","0","23.85"
"2026-07-15T10:42:03.295Z","10056","10.056","0","0","0","0","0","0","0","0","0","23.76"
"2026-07-15T10:42:03.340Z","10101","10.101","0","0","0","0","0","0","0","0","0","23.53"
"2026-07-15T10:42:03.389Z","10150","10.150","0","0","0","0","0","0","0","0","0","23"
"2026-07-15T10:42:03.448Z","10209","10.209","0","0","0","0","0","0","0","0","0","22.55"
"2026-07-15T10:42:03.490Z","10251","10.251","0","0","0","0","0","0","0","0","0","22.23"
"2026-07-15T10:42:03.535Z","10296","10.296","0","0","0","0","0","0","0","0","0","22.16"
"2026-07-15T10:42:03.588Z","10349","10.349","0","0","0","0","0","0","0","0","0","22.24"
"2026-07-15T10:42:03.631Z","10392","10.392","0","0","0","0","0","0","0","0","0","21.74"
"2026-07-15T10:42:03.674Z","10435","10.435","0","0","0","0","0","0","0","0","0","21.81"
"2026-07-15T10:42:03.719Z","10480","10.480","0","0","0","0","0","0","0","0","0","21.95"
"2026-07-15T10:42:03.768Z","10529","10.529","0","0","0","0","0","0","0","0","0","21.72"
"2026-07-15T10:42:03.814Z","10575","10.575","0","0","0","0","0","0","0","0","0","21.79"
"2026-07-15T10:42:03.864Z","10625","10.625","0","0","0","0","0","0","0","0","0","21.93"
"2026-07-15T10:42:03.916Z","10677","10.677","0","0","0","0","0","0","0","0","0","21.64"
"2026-07-15T10:42:03.967Z","10728","10.728","0","0","0","0","0","0","0","0","0","21.4"
"2026-07-15T10:42:04.018Z","10779","10.779","0","0","0","0","0","0","0","0","0","21.07"
"2026-07-15T10:42:04.061Z","10822","10.822","0","0","0","0","0","0","0","0","0","21.32"
"2026-07-15T10:42:04.099Z","10860","10.860","0","0","0","0","0","0","0","0","0","21.38"
"2026-07-15T10:42:04.157Z","10918","10.918","0","0","0","0","0","0","0","0","0","21.3"
"2026-07-15T10:42:04.193Z","10954","10.954","0","0","0","0","0","0","0","0","0","21.37"
"2026-07-15T10:42:04.245Z","11006","11.006","0","0","0","0","0","0","0","0","0","21.82"
"2026-07-15T10:42:04.289Z","11050","11.050","0","0","0","0","0","0","0","0","0","21.38"
"2026-07-15T10:42:04.342Z","11103","11.103","35.82","63.24","0","0","0","0","310.7","378.4","1","21.66"
"2026-07-15T10:42:04.466Z","11227","11.227","29.28","42.89","175.7","203.7","176","204","305.8","363.2","2","21.09"
"2026-07-15T10:42:04.537Z","11298","11.298","23.01","18.99","101.6","69.3","102","69","298.5","340.1","3","19.1"
"2026-07-15T10:42:04.593Z","11354","11.354","13.3","9.61","64.2","32.6","64","33","285.2","329.5","2","18.58"
